Text,Image,Folio 
urn:cts:greekLit:tlg5026.msA.hmt:13.165r1,"urn:cite:hmt:vaimg.VA165RN-0336@0.1958,0.0885,0.4613,0.0264",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r2,"urn:cite:hmt:vaimg.VA165RN-0336@0.1958,0.1,0.6186,0.0245",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r3,"urn:cite:hmt:vaimg.VA165RN-0336@0.1968,0.1104,0.6186,0.033",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r4,"urn:cite:hmt:vaimg.VA165RN-0336@0.2008,0.1315,0.6186,0.0208",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r5,"urn:cite:hmt:vaimg.VA165RN-0336@0.1958,0.1438,0.6201,0.0475",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r6,"urn:cite:hmt:vaimg.VA165RN-0336@0.633,0.3531,0.1708,0.0603",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r7,"urn:cite:hmt:vaimg.VA165RN-0336@0.633,0.412,0.1708,0.0603",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r8,"urn:cite:hmt:vaimg.VA165RN-0336@0.156,0.458,0.671,0.2613",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r9,"urn:cite:hmt:vaimg.VA165RN-0336@0.1623,0.7015,0.6353,0.0435",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r10,"urn:cite:hmt:vaimg.VA165RN-0336@0.1633,0.7323,0.6383,0.0312",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r11,"urn:cite:hmt:vaimg.VA165RN-0336@0.1633,0.7506,0.6393,0.0595",urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg5026.msA.hmt:13.165r12,"urn:cite:hmt:vaimg.VA165RN-0336@0.1683,0.7963,0.6209,0.0275",urn:cite:hmt:msA.165r
